user_id,items,created_at,updated_at,ingested_at,valid_until
87674,"[92860, 78202, 59170, 93286, 13837]",2023-07-20T06:54:36.739429,2024-03-13T20:07:39.291065,2024-10-28 00:30:44.548485,
30860,"[84233, 61638, 9844, 49494, 58570]",2022-11-21T07:07:02.256692,2023-11-26T23:15:17.817549,2024-10-28 00:30:44.548485,
98983,"[25279, 82759, 90805, 98497, 27245]",2023-11-30T01:12:34.932903,2024-08-27T18:05:28.510312,2024-10-28 00:30:44.548485,
96089,"[69330, 857, 21009, 26409, 34378]",2023-04-13T23:54:02.538371,2024-05-29T04:18:04.045945,2024-10-28 00:30:44.548485,
63389,"[39192, 66009, 22178, 5700, 19921]",2024-08-25T14:27:24.269661,2024-08-30T11:00:54.535654,2024-10-28 00:30:44.548485,
82181,"[37065, 87954, 18530, 23240, 46851]",2024-01-15T01:53:39.142095,2024-10-27T20:57:39.977845,2024-10-28 00:30:44.548485,
36338,"[94961, 53633, 65177, 59941, 18464]",2024-07-29T20:54:07.256278,2024-08-29T13:12:32.747976,2024-10-28 00:30:44.548485,
38115,"[61576, 90519, 62961, 76140, 26803]",2023-12-25T16:33:41.873880,2024-06-15T08:47:30.485194,2024-10-28 00:30:44.548485,
8062,"[32822, 42664, 73691, 29047, 80532]",2024-08-30T03:40:25.261008,2024-09-11T04:52:24.333293,2024-10-28 00:30:44.548485,
77159,"[76480, 57469, 34151, 29781, 49679]",2024-09-09T23:27:41.101709,2024-09-22T14:23:02.977553,2024-10-28 00:30:44.548485,
88940,"[16718, 54620, 14438, 54278, 54387]",2024-07-31T17:36:21.213577,2024-08-03T00:40:54.954111,2024-10-28 00:30:44.548485,
89498,"[32565, 41499, 71319, 58934, 76695]",2023-02-17T06:26:46.201515,2023-03-19T10:44:04.136446,2024-10-28 00:30:44.548485,
71052,"[35664, 21595, 16452, 10579, 36138]",2024-08-31T05:00:14.439523,2024-10-12T17:24:25.417807,2024-10-28 00:30:44.548485,
64472,"[10365, 27192, 19121, 49679, 45117]",2024-08-03T13:58:05.995656,2024-08-20T06:25:46.759042,2024-10-28 00:30:44.548485,
