id,name,artist,songwriters,duration,genres,album,created_at,updated_at,ingested_at,valid_until
42532,situation,Joy Williams,Brett Marshall,25:01,she,sell,2024-06-07T03:37:29.809053,2024-07-06T22:22:50.305361,2024-10-28 00:30:43.821005,
94795,team,Pamela Fleming,Sierra Jones,18:12,another,suddenly,2024-10-24T06:02:59.835876,2024-01-04T01:46:54.993289,2024-10-28 00:30:43.821005,
16050,occur,Heather Johnson,Michael Smith,11:24,real,tell,2024-08-16T22:33:38.630534,2024-09-18T19:19:13.071531,2024-10-28 00:30:43.821005,
5157,evening,Zachary Ellis,Grace Gonzalez,36:42,report,system,2023-01-19T22:26:00.560752,2024-07-13T09:21:32.411240,2024-10-28 00:30:43.821005,
90280,billion,Shannon Valdez,Christina Williams,13:41,word,economy,2024-04-04T01:02:23.208529,2024-02-04T22:54:28.859098,2024-10-28 00:30:43.821005,
53025,site,Leonard Williams,Nicholas Barr,51:56,property,instead,2023-08-18T07:06:26.177563,2023-12-11T07:29:29.729630,2024-10-28 00:30:43.821005,
78359,small,Danielle Boyle,Mariah Rodriguez,52:44,again,tonight,2023-02-17T12:36:21.682489,2024-03-10T14:58:10.030999,2024-10-28 00:30:43.821005,
35860,rather,Howard Smith,Margaret Harris,23:42,computer,child,2024-03-25T00:54:08.134172,2024-10-09T03:10:35.159385,2024-10-28 00:30:43.821005,
26837,picture,Ashley Sanchez,Heather Gonzalez,06:33,power,outside,2023-03-06T01:04:33.322965,2024-04-18T01:42:49.632215,2024-10-28 00:30:43.821005,
75773,strong,Holly Collins,Allen Willis,12:21,discussion,whose,2024-04-24T19:37:48.666922,2024-09-28T03:42:57.725640,2024-10-28 00:30:43.821005,
40479,type,Anthony Hancock,Stephanie Jones,02:41,national,debate,2023-12-16T17:55:27.640732,2024-04-10T00:58:58.535320,2024-10-28 00:30:43.821005,
45992,will,Carol Neal,Susan Nguyen,49:29,high,soldier,2024-07-10T16:28:47.038277,2023-11-07T00:18:40.637877,2024-10-28 00:30:43.821005,
76642,view,Andrew Hendrix,Michael Lane,06:02,bank,him,2023-02-07T10:54:40.091730,2024-05-22T04:00:16.974758,2024-10-28 00:30:43.821005,
49666,point,Curtis Carney,Barbara Cunningham,39:32,decide,your,2024-02-15T18:21:59.717795,2024-06-05T05:45:12.411633,2024-10-28 00:30:43.821005,
89222,list,Susan Campos,Mrs. Meghan Perez,33:35,pattern,product,2023-10-29T04:16:46.610985,2024-03-26T17:56:29.341135,2024-10-28 00:30:43.821005,
2738,service,Shannon Garcia,Nathan Delgado,08:12,interesting,range,2023-06-06T19:05:38.575286,2024-05-15T07:47:50.765890,2024-10-28 00:30:43.821005,
90195,recent,Melissa Martin,Rhonda Bowman,22:23,source,realize,2024-08-06T03:31:11.119264,2024-01-21T09:18:28.730665,2024-10-28 00:30:43.821005,
42003,notice,John Cruz,Edward Merritt,13:37,son,indicate,2024-08-16T20:09:07.616464,2024-06-28T02:27:29.680697,2024-10-28 00:30:43.821005,
8315,wife,Megan Fitzgerald,Kristen Melendez,14:46,determine,consumer,2023-03-10T05:18:50.709987,2024-03-18T14:02:01.258890,2024-10-28 00:30:43.821005,
76140,everyone,Laura Walters,Denise Pugh,35:04,help,career,2023-11-09T12:42:07.234841,2024-08-01T09:47:12.485227,2024-10-28 00:30:43.821005,
58389,possible,Tammy Rogers,Kara Gonzales,16:23,reveal,plant,2023-03-13T00:50:08.566611,2024-02-10T20:58:01.570065,2024-10-28 00:30:43.821005,
55282,life,Isaiah Hawkins,Randy Rogers,33:21,employee,kitchen,2023-04-12T16:05:33.149230,2023-12-14T17:08:11.673589,2024-10-28 00:30:43.821005,
87948,part,Paula Conway,Tina Frazier,55:24,evening,in,2023-04-30T03:08:35.784087,2024-07-11T02:59:53.128911,2024-10-28 00:30:43.821005,
62113,carry,Bruce Marks,Lisa Thompson,30:03,discuss,general,2022-11-02T07:39:10.190047,2024-01-08T14:59:53.963267,2024-10-28 00:30:43.821005,
45433,policy,Amy Huang,Alexander Ortiz,38:58,hope,police,2024-10-24T16:01:34.973195,2024-04-28T12:51:54.343224,2024-10-28 00:30:43.821005,
83780,wife,Hector Bell,Pam Ponce,47:01,gas,officer,2024-08-27T16:25:47.369087,2023-11-10T03:54:21.751698,2024-10-28 00:30:43.821005,
44899,foot,Cole Hill,Cynthia Cruz,48:02,note,toward,2023-05-10T21:01:04.878791,2024-05-18T18:01:10.428994,2024-10-28 00:30:43.821005,
40172,from,Anthony Jenkins,Alyssa Williams,55:18,similar,check,2024-07-08T15:32:05.136955,2024-05-08T00:21:06.215446,2024-10-28 00:30:43.821005,
9552,anyone,Jose Dixon,Stephanie Daniels,26:35,strong,turn,2023-01-18T03:31:25.337119,2024-02-22T01:51:02.137038,2024-10-28 00:30:43.821005,
7961,maintain,Christian Case,Suzanne Patton,34:36,special,me,2023-02-19T11:19:13.393804,2023-10-29T08:03:06.479089,2024-10-28 00:30:43.821005,
45811,wonder,Cynthia Harris,Daniel Fisher,18:28,through,indicate,2023-02-13T16:20:56.965773,2024-08-20T08:09:34.796325,2024-10-28 00:30:43.821005,
63780,dinner,William Clark,Dr. Amy Hahn,02:27,do,consider,2024-06-19T11:36:13.524714,2024-09-19T20:22:05.835383,2024-10-28 00:30:43.821005,
51188,full,Mr. Christopher Clark,Sheila Roman,23:03,day,eight,2024-05-26T08:46:38.183659,2024-06-07T04:20:14.289031,2024-10-28 00:30:43.821005,
49928,price,Benjamin Brown,Jennifer Hunt,19:05,than,often,2023-06-23T00:18:14.490376,2024-06-21T22:46:26.149592,2024-10-28 00:30:43.821005,
49222,wife,Justin Mcfarland,Robert Ochoa,01:58,degree,government,2023-11-22T09:38:27.723305,2024-10-19T06:04:10.606771,2024-10-28 00:30:43.821005,
13914,American,Mary Mooney,Christopher Burton,07:37,fine,weight,2023-08-16T00:15:00.687266,2024-02-06T09:46:20.106467,2024-10-28 00:30:43.821005,
95284,no,Debra Fleming,Michael Nguyen,49:24,make,so,2024-05-19T05:58:12.846792,2024-02-24T08:21:36.581862,2024-10-28 00:30:43.821005,
